№;Станція (рос.);Станція (укр.);Код
1;Балаклея;Балаклія;942-67-хххх
2;Басы;Баси;943-80-хххх
3;Белополье;Білопілля;943-84-2ххх
4;Беспаловка;Безпалівка;940-95-9ххх
5;Богодухов;Богодухів;943-81-3ххх
6;Боромля;Боромля;943-85-22хх
7;Борки;Бірки;940-97-1ххх
8;Вилы;Вили;944-81-64хх
9;Волчанск;Вовчанськ;945-81-2ххх
10;Гребенка;Гребінка;944-81-хххх
11;Двуречная;Дворічна;945-84-2ххх
12;Дергачи;Дергачі;942-88-2ххх
13;Змиев;Зміїв;942-60-2ххх
14;Золотнишино;Золотнишине;944-84-4ххх
15;Золочев;Золочів;942-61-хххх
16;Изюм;Ізюм;942-83-хххх
17;Индустриальная;Індустріальна;940-96-2ххх
18;Казачья Лопань;Козача Лопань;942-85-хххх
19;Кагамлыкская;Кагамлицька;944-86-хххх
20;Карловка;Карлівка;944-80-7ххх
21;Коломак;Коломак;943-86-4ххх
22;Красноград;Красноград;942-69-хххх
23;Кременчуг;Кременчук;944-84-хххх
24;Купянск;Куп'янськ;945-87-хххх
25;Куриловка;Курилівка;945-87-хххх
26;Лазорки;Лазірки;944-81-хххх
27;Лихачево;Лихачове;942-64-2ххх
28;Лозовая;Лозова;942-65-5ххх, 6ххх
29;Лосево;Лосєве;942-86-хххх
30;Лубны;Лубни;944-81-хххх
31;Люботин;Люботин;943-89-2ххх
32;Люботин-Западный;Люботин-Західний;940-97-979х
33;Мерефа;Мерефа;942-80-2ххх
34;Мерчик;Мерчик;943-89-2xxx
35;Миргород;Миргород;944-83-2ххх
36;Миргород (санаторий);Миргород (санаторій);944-83-3ххх
37;Новая Бавария;Нова Баварія;942-82-хххх
38;Основа;Основа;942-81-хххх
39;Панютино;Панютине;942-66-2ххх
40;Пирятин;Пирятин;944-81-9ххх
41;Полтава;Полтава;944-80-хххх
42;Приколотное;Приколотне;945-83-2ххх
43;Прилуки;Прилуки;944-89-хххх
44;Ромны;Ромни;944-88-хххх
45;Ромодан;Ромодан;944-82-2ххх
46;Сахновщина;Сахновщина;942-68-2ххх
47;Слатино;Слатине;942-84-2ххх
48;Тростянець-Смородино;Тростянець-Смородине;943-88-хххх
49;Солоницкая;Солоницька;944-81-хххх
50;Сумы;Суми;943-80-хххх
51;Тополи;Тополі;945-89-2ххх
52;Чугуев;Чугуїв;945-85-2ххх
53;Шебелинка;Шебелинка;942-62-2ххх
54;Шевченково;Шевченкове;945-82-2ххх
55;Шпаковка;Шпаківка;942-87-2ххх
56;Харьков;Харків;4-хххх, 940-04-хххх
57;Харьков-Балашовский;Харків-Балашовський;942-86-хххх
58;Харьков-Грузовой;Харків-Вантажний;942-89-хххх
59;Харьков-Левада;Харків-Левада;942-89-хххх
